c,Year,Round,Player,Sets Won,Legs Won in Current Set,Legs,Order (1 or 2),Shot #,Shot Score,Total Score,Shot Type
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,20,461,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,60,401,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,5,436,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,20,416,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,60,341,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,60,281,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,20,261,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,60,356,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,60,296,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,60,236,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,20,241,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,51,190,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,60,130,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,20,216,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,19,197,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,7,190,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,20,110,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,60,50,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,10,40,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,20,170,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,60,110,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,60,50,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,40,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,19,462,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,54,408,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,60,321,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,3,405,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,20,385,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,57,328,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,301,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,20,281,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,20,261,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,60,268,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,60,208,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,20,188,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,241,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,17,224,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,18,206,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,60,128,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,60,68,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,48,20,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,186,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,19,167,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,51,116,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,0,20,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,0,20,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,10,10,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,19,97,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,3,94,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,4,90,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,5,5,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,3,2,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,0,2,MISS
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,70,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,20,50,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,8,42,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,0,2,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,0,2,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,2,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,1,15,486,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,2,20,466,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,3,19,447,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,3,60,321,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,1,60,387,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,2,60,327,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,3,60,267,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,1,20,301,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,2,57,244,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,3,57,187,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,1,20,247,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,2,60,187,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,3,60,127,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,1,60,127,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,2,20,107,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,3,60,47,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,1,60,67,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,2,51,16,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,3,1,3,8,8,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,1,15,32,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,2,32,0,D
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,1,3,2,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,2,20,421,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,3,60,361,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,2,20,421,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,3,20,401,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,1,20,341,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,2,19,322,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,3,20,302,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,1,20,381,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,2,7,374,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,3,18,356,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,1,60,242,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,2,5,237,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,3,60,177,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,1,60,296,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,2,20,276,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,3,60,216,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,1,20,157,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,2,19,138,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,3,54,84,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,1,15,201,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,2,20,181,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,4,2,3,17,164,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,1,20,64,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,2,48,16,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,2,4,1,3,16,0,D
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,3,18,363,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,3,60,321,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,1,20,343,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,2,57,286,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,3,7,279,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,1,60,261,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,2,20,241,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,3,17,224,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,1,19,260,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,2,20,240,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,3,54,186,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,1,20,204,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,2,19,185,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,3,54,131,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,1,20,166,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,2,57,109,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,3,19,90,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,1,51,80,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,2,20,60,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,5,2,3,20,40,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,1,54,36,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,2,0,36,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,5,1,3,36,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,2,57,424,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,3,57,367,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,2,57,424,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,3,57,367,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,1,60,307,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,2,60,247,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,3,60,187,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,1,20,347,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,2,57,290,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,3,19,271,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,1,20,167,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,2,20,147,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,3,60,87,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,1,57,214,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,2,19,195,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,6,1,3,50,145,BE
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,1,51,36,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,2,26,10,D
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,6,2,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,3,60,321,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,3,60,321,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,1,60,261,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,2,60,201,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,3,57,144,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,1,60,261,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,2,60,201,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,3,60,141,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,1,60,84,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,2,60,24,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,7,1,3,0,24,MISS
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,1,60,81,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,2,57,24,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,7,2,3,24,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,2,60,421,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,3,60,361,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,3,20,361,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,1,20,341,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,2,20,321,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,3,60,261,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,1,60,301,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,2,60,241,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,3,20,221,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,1,20,241,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,2,51,190,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,3,60,130,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,1,60,161,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,2,20,141,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,3,57,84,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,1,60,70,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,2,20,50,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,3,25,25,I
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,1,60,24,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,2,0,24,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,8,2,3,0,24,MISS
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,1,5,20,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,2,20,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,0,2,8,1,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,2,60,421,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,3,20,401,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,2,19,462,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,3,18,444,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,1,60,341,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,2,60,281,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,3,60,221,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,1,60,384,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,2,60,324,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,3,5,319,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,1,20,201,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,2,20,181,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,3,17,164,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,1,19,300,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,2,20,280,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,3,19,261,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,1,20,144,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,2,20,124,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,3,54,70,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,1,60,201,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,2,60,141,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,3,60,81,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,1,18,52,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,2,12,40,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,3,0,40,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,1,19,62,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,2,12,50,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,9,2,3,25,25,I
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,1,40,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,2,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Smith,1,0,9,1,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,3,15,366,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,2,3,478,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,3,60,418,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,1,60,306,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,2,20,286,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,3,60,226,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,1,20,398,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,2,20,378,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,3,18,360,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,1,15,211,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,2,20,191,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,3,19,172,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,1,60,300,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,2,60,240,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,3,60,180,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,1,3,169,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,2,19,150,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,3,20,130,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,1,60,120,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,2,20,100,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,3,20,80,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,1,60,70,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,2,20,50,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,10,1,3,25,25,I
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,1,60,20,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,2,20,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,1,1,10,2,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,2,60,421,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,3,3,418,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,3,25,356,I
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,1,60,358,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,2,60,298,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,3,60,238,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,1,60,296,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,2,20,276,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,3,60,216,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,1,20,218,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,2,19,199,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,3,57,142,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,1,60,156,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,2,60,96,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,3,60,36,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,1,20,122,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,2,25,97,I
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,3,57,40,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,1,0,36,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,2,0,36,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,3,0,36,MISS
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,1,0,40,MISS
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,2,20,20,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,11,1,3,10,10,D
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,1,36,0,D
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,2,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,0,11,2,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,12,2,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,12,2,2,60,421,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,12,2,3,60,361,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,12,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,12,1,2,20,461,S
Smith v. Van Gerwen,2023,Final,Michael Smith,1,2,12,1,3,20,441,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,12,2,1,20,341,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,1,1,12,2,2,19,322,S
